0	1	A	A	10
0	1	E	E	10
0	1	I	I	10
0	1	O	O	10
0	1	U	U	10
0	1	B	B	10
0	1	C	C	10
0	1	D	D	10
0	1	F	F	10
0	1	G	G	10
0	1	H	H	10
0	1	J	J	10
0	1	K	K	10
0	1	L	L	10
0	1	M	M	10
0	1	N	N	10
0	1	P	P	10
0	1	Q	Q	10
0	1	R	R	10
0	1	S	S	10
0	1	T	T	10
0	1	V	V	10
0	1	W	W	10
0	1	X	X	10
0	1	Y	Y	10
0	1	Z	Z	10
0	1	0	0	10
1	1	A	A	10
1	1	E	E	10
1	1	I	I	10
1	1	O	O	10
1	1	U	U	10
1	1	B	B	10
1	1	C	C	10
1	1	D	D	10
1	1	F	F	10
1	1	G	G	10
1	1	H	H	10
1	1	J	J	10
1	1	K	K	10
1	1	L	L	10
1	1	M	M	10
1	1	N	N	10
1	1	P	P	10
1	1	Q	Q	10
1	1	R	R	10
1	1	S	S	10
1	1	T	T	10
1	1	V	V	10
1	1	W	W	10
1	1	X	X	10
1	1	Y	Y	10
1	1	Z	Z	10
1	1	0	0	10
1	4	eps	eps	0
4
0	1	X	S	1
1	2	X	K	0
2	1	eps	S	0
0	5	W	eps	1
1	5	W	eps	1
5	1	B	B	1
5	1	C	C	1
5	1	D	D	1
5	1	F	F	1
5	1	G	G	1
5	1	H	H	1
5	1	J	J	1
5	1	K	K	1
5	1	L	L	1
5	1	M	M	1
5	1	N	N	1
5	1	P	P	1
5	1	Q	Q	1
5	1	R	R	1
5	1	S	S	1
5	1	T	T	1
5	1	V	V	1
5	1	W	W	1
5	1	X	X	1
5	1	Y	Y	1
5	1	Z	Z	1
5	4	eps	eps	1
0	5	Y	eps	1
1	5	Y	eps	1
5	1	B	B	1
5	1	C	C	1
5	1	D	D	1
5	1	F	F	1
5	1	G	G	1
5	1	H	H	1
5	1	J	J	1
5	1	K	K	1
5	1	L	L	1
5	1	M	M	1
5	1	N	N	1
5	1	P	P	1
5	1	Q	Q	1
5	1	R	R	1
5	1	S	S	1
5	1	T	T	1
5	1	V	V	1
5	1	W	W	1
5	1	X	X	1
5	1	Y	Y	1
5	1	Z	Z	1
5	4	eps	eps	1
0	1	Z	S	1
1	1	Z	S	1
